text	intent
有多少美國航空公司的航班離開丹佛六月十	飛行
告訴我從波士頓到舊金山航班	數量
我在尋找一種從聖何塞去休斯敦五卅飛行和中午之後葉	飛行
告訴我這經過亞特蘭大三角形或TWA航班	飛行
其中美國航空公司航班經過丹佛	飛行
我需要從亞特蘭大飛往北卡羅萊納州夏洛特下星期一	飛行
告訴我哪個航空公司有從匹茲堡飛往舊金山週一九月第二個航班	飛行
我需要從堪薩斯城到芝加哥下週三在晚上到達芝加哥約700航??班	航空公司
什麼頭等艙機票可在七月二十五分之一，從1991年丹佛巴爾的摩	飛行
什麼地面運輸在巴爾的摩可用	飛行
顯示從匹茲堡飛往舊金山的所有航班和票價	飛行
顯示從丹佛飛往奧克蘭，經過12點鐘到達航班	航班機票+
什麼是飯代碼的立場為	飛行
確實有增量從波士頓到舊金山午後飛行	縮寫
是什麼從波士頓到舊金山航班	飛行
請告訴我從印第安納波利斯的孟菲斯單程頭等艙機票	飛行
請告訴我從達拉斯到亞特蘭大週一航班	飛行
人列表號可以在匹茲堡和巴爾的摩之間的蒼蠅每種類型的飛機進行	飛行
I'd像上最便宜機票往返從匹茲堡到波士頓信息	容量
大陸航空飛行從丹佛飛往匹茲堡	機票
I'd喜歡尋找從波士頓到費城最便宜的單程票價	飛行
航空公司和航班號從哥倫布到明尼阿波利斯	機票
什麼航空公司從華盛頓特區到哥倫布	飛機場
往返票價從巴爾的摩到費城小於從丹佛1000元往返車費費城不到1000塊錢從匹茲堡往返票價費城低於1000美元	航空公司
什麼做這些成本	機票
讓我在大陸從印第安納波利斯聖地亞哥下午航班明天	機票
給我的航空公司匹茲堡列表	飛行
從邁阿密飛往克里夫蘭的航班	航空公司
你能告訴我，如果有波士頓機場和波士頓市區之間的地面交通	飛行
什麼三角洲航班從匹茲堡飛往舊金山	飛行
告訴我晚上到費城的所有航班	飛行
從加利福尼亞州安大略省的最短飛行到佛羅里達州奧蘭多	飛行
在那裡華盛頓晚上9點以後的任何航班從舊金山	飛行
我需要從加利福尼亞州圣迭戈到印第安納州印第安納波利斯的航班在下午離開週二	飛行
I'd喜歡也可以預定從匹茲堡單程航班亞特蘭大七月二十日最便宜的	飛行
在洛杉磯有什麼豪華轎車服務	飛行
告訴我從匹茲堡飛往舊金山的航班	飛機
什麼航班有從納什維爾到休斯敦明天晚上供應正餐	飛行
多少頭等艙機票不團結今天所有城市都留下	飛行
顯示從舊金山到波士頓8月8號的所有航班	數量
什麼才是從休斯敦到達拉斯的最新航班	飛行
請列出從休斯敦到密爾沃基的美國航空公司航班	飛行
我想預定在四月第六從坦帕清晨飛往夏洛特	飛行
告訴我從丹佛到DC上週三航班	飛行
告訴我從費城飛往達拉斯與一站式的航班	飛行
從波士頓早上飛往費城	飛行
什麼樣的價格是在波士頓的一個豪華轎車服務	飛行
是什麼從奧克蘭到華盛頓週日航班	飛行
什麼航班團結休假拉瓜迪亞聖何塞和晚上10點左右到達	飛行
是什麼從匹茲堡到丹佛和背面的航班	飛行
什麼才是最便宜的達拉斯到亞特蘭大的航班時間為2後，在下午	飛行
是什麼從蒙特利爾飛往芝加哥的航班	飛行
列出到達的航班和時間，在中午前從波士頓在達拉斯抵達航班	飛行
什麼是票價碼Q	飛行
沒事什麼我們航航班在下午從印第安納波利斯離開聖地亞哥130後	縮寫
週一我想從北卡羅萊納州夏洛特前往亞利桑那州鳳凰城我想下午4點之前在鳳凰抵達	飛行
給我從紐約到拉斯維加斯的航班，並從孟菲斯到拉斯維加斯的航班在同一時間內到達	飛行
從亞特蘭大飛往請	飛行
告訴我從亞特蘭大到奧克蘭這抵達奧克蘭下午5時前，端出週四所有航班	飛行
什麼是從密爾沃基到明天西雅圖的最新航班	飛行
什麼航班有上週三晚上從丹佛到SFO	飛行
哪些呢限制美聯社57	飛行
我需要從芝加哥飛回堪薩斯城離開芝加哥7左右，晚上下週四	縮寫
我需要從亞特蘭大到巴爾的摩航班明天	飛行
告訴我航空公司從匹茲堡打算去丹佛，然後繼續到舊金山週一	飛行
列出哪些離開西雅圖大陸的所有航班，並在芝加哥430 pm以後上週日抵達	航空公司
我想找到一個航班，從拉瓜迪亞機場前往聖何塞我想飛行是在美國聯合航空公司和聖何塞晚上10點左右到達	飛行
從丹佛飛往費城的航班票價包括	飛行
告訴我從愛場離開航班	飛行
我想從丹佛飛往舊金山與至少一個站	飛行
什麼是我可以從華盛頓到舊金山的最新航班	飛行
是什麼從丹佛飛往巴爾的摩的航班聯合航空公司	飛行
顯示從巴爾的摩到達拉斯我的廉價航班	飛行
芝加哥到舊金山大陸	飛行
上午八月第三個前10名名單在巴爾的摩從波士頓到達的航班	飛行
什麼樣的飛機呢三角洲利用早上8點前從波士頓八月第二丹佛	飛行
顯示從巴爾的摩到達拉斯在星期一晚上的所有航班，並在每次飛行的成本	飛機
哪些航班可以從波士頓到丹佛	飛行
這裡是萊斯特·皮爾遜機場	飛行
在四月二想從丹佛大約8點早上飛往匹茲堡	市
喜像我'd從哥倫布飛往鳳凰城，並停止在前進的道路上辛辛那提	飛行
之前在週二10點有一個747，從巴爾的摩飛往舊金山	飛行
I'd喜歡安排兩個朋友飛入人們的洛杉磯下週六晚上，一個從堪薩斯城來，另一種是從拉斯維加斯來	飛行
給我從鹽湖城到抵達紐約市的航班下午6點前	飛行
我需要從辛辛那提到聖何塞航班在晚上6後離開	飛行
什麼才是從費城一流票價舊金山的成本	飛行
達拉斯到舊金山下午4後請留下	機票
找到從華盛頓到舊金山航班上週二	飛行
波士頓和舊金山之間的航班??列表服務於早餐	飛行
下午航班離開舊金山抵達波士頓	飛行
我想看到從巴爾的摩到費城的航班	飛行
什麼是最新的航班離開拉斯維加斯安大略	飛行
所有Delta飛往無處不在，如果你能	飛行
我想看到從巴爾的摩到費城的所有航班	飛行
告訴我從多倫多到辛辛那提的航班	飛行
好吧，我需要看到達拉斯和巴爾的摩之間的美聯航經濟艙航班	飛行
列出所有航班下午離開巴爾的摩和週四抵達亞特蘭大	飛行
告訴我到巴爾的摩教練在週三中午12點左右從波士頓的航班	飛行
列出從波士頓到舊金山聯合航空公司的所有航班	飛行
有多少航班在米切爾將軍國際到達	飛行
最低票價從孟菲斯到西雅圖	數量
讓我從舊金山到明尼阿波利斯航班	機票
請告訴我從匹茲堡飛往亞特蘭大週三早上供應早餐航班	飛行
什麼樣的航空公司從波士頓航班UA 281丹佛	飛行
給我所有從孟菲斯到夏洛特的航班	航空公司
告訴我從費城飛往達拉斯的航班在亞特蘭大停止	飛行
告訴我從丹佛飛往費城費城的航班和航班從匹茲堡	飛行
也給我奧克蘭和波士頓之間的航班??列表	飛行
顯示從波士頓到費城首飛	飛行
什麼是YN代碼	飛行
什麼是票價代碼H	縮寫
我需要的是在舊金山到達9點日星期五下午和葉從巴爾的摩飛機	縮寫
列出印第安納波利斯之間的所有往返航班和奧蘭多二十七個十二月	飛機
顯示從丹佛飛往奧克蘭12和1點之間抵達航班	飛行
是什麼從夏洛特到亞特蘭大週二返回七月十三航班	飛行
直飛航班西雅圖波士頓	飛行
什麼是在費城機場的名字	飛行
好吧，我想知道從克利夫蘭到達拉斯的飛行中使用飛機的型號，請	飛機場
顯示最後一個航班從費城到波士頓	飛機
我想從波士頓飛往亞特蘭大的航班	飛行
有多少是來自拉斯維加斯的718班機到紐約TWA	飛行
從鳳凰到密爾沃基的航班美國時	機票
什麼是從丹佛到亞特蘭大最便宜的單程航班	飛行
在亞特蘭大多少才租車費用	飛行
從匹茲堡飛往波士頓的航班名單在下午3後離開	飛行
告訴我從紐瓦克飛往洛杉磯的航班	飛行
列出從邁阿密到紐約上週日直飛航班與小於466元的車費一起	飛行
我需要從ST航班的列表。聖彼得堡佛羅里達州塔科馬華盛頓明天就要走了，我想有一個停留在密爾沃基請	飛行
什麼從洛杉磯飛往明尼阿波利斯航班	飛行
告訴我從紐約飛往聖何塞的特價機票，往返	飛行
顯示從匹茲堡到奧克蘭航班	飛行
顯示從舊金山飛往匹茲堡的所有航班星期一	飛行
I'd喜歡看到從匹茲堡到費城的航班	飛行
讓我看看航空公司的縮寫	飛行
列出從巴爾的摩飛往丹佛的頭等艙機票	航空公司
你能告訴我所有從蒙特利爾飛往夏洛特的航班	飛行
我想從費城飛往達拉斯，並在亞特蘭大停留	飛行
我謹飛從匹茲堡飛往亞特蘭大	飛行
芝加哥密爾沃基	飛行
讓我從舊金山到波士頓星期五早上航班	飛行
哪些航班可以從亞特蘭大到華盛頓特區週三	飛行
從堪薩斯城飛往克里夫蘭的航班上週三下午5點之前到達	飛行
來自舊金山的美國航班，請	飛行
讓我知道從匹茲堡到巴爾的摩航班	飛行
告訴我從波士頓到丹佛的航班	飛行
你有票價從奧克蘭機場前往奧克蘭市中心	飛行
還好給我離開丹佛後，晚上7點下週一抵達波士頓的航班	機票
請列出飛行時間為波士頓飛往匹茲堡	飛行
什麼是票價代碼QW和QX	飛行時間
什麼航班離開匹茲堡掘金在週一晚上	縮寫
我需要從亞特蘭大到丹佛最廉價的直航留下五七	飛行
告訴我從洛杉磯到匹茲堡，其在美國匹茲堡上週一抵達的航班	飛行
從亞特蘭大到波士頓航班列表週三下午	飛行
什麼是你最早的早上的飛機從印第安納波利斯到夏洛特	飛行
I'd喜歡從聖何塞飛往納什維爾的航班上週五六月三日上午	飛行
我想從多倫多首飛到蒙特利爾下週五	飛行
我想，ST公司的直飛航班。聖彼得堡夏洛特留在下午	飛行
從達拉斯亞特蘭大顯示航班其中下午2點和下午6點之間出發	飛行
什麼是從亞特蘭大到華盛頓週四最早的航班	飛行
從匹茲堡飛往巴爾的摩名單航班上週四早上不停	飛行
我感興趣的一個航班從匹茲堡飛往亞特蘭大	飛行
從波士頓到達拉斯的聯合航空這條橫貫大陸飛行使得在費城短暫停留	飛行
有多少人適合在73S	飛行
從辛辛那提到洛杉磯718點以後起飛的航班	容量
告訴我，從紐約到邁阿密在週二和去從邁阿密到紐約上週日所有航班	飛行
從丹佛在1000元往返車費費城	飛行
請列出從費城到多倫多航班	機票
給我從匹茲堡到洛杉磯週四晚上的航班	飛行
是否有任何美國航空公司的航班在下午飛入匹茲堡12和4之間	飛行
告訴我從達拉斯到匹茲堡其離開週一上午08點後所有航班	飛行
告訴我從巴爾的摩飛往費城國際	飛行
讓我在九月十五與發車時間舊金山和費城之間的所有航班12點後	飛行
從匹茲堡飛往巴爾的摩	飛行
列出波士頓和奧克蘭之間，並使用達美航空之間的奧克蘭和波士頓所有的每日航班	飛行
我想找到早期早晨或傍晚週日六月十三謝謝週一六月十四從哥倫布到明尼阿波利斯航班	飛行
列出了三角洲的所有機場之間的航班??總數	飛行
告訴我，上週四早上離開從亞特蘭大到華盛頓和包括膳食是否提供什麼價格都在航班	數量
我需要在大陸上月第五次從芝加哥到西雅圖轉機	飛行
我想我應該採取什麼亞特蘭大的航班從波士頓早上8點之前離開	飛行
沒有飛行UA 281從波士頓到丹佛留在星期二	飛行
沒有增量飛機飛DC10	飛行
是什麼從波士頓到巴爾的摩的航班	飛機
從舊金山到費城航班信息	飛行
什麼航班從波士頓到舊金山，達拉斯停止	飛行
我想從亞特蘭大到丹佛航班有最便宜的單程票價	飛行
定義航空公司馬力	飛行
什麼是最早的航班從安大略孟菲斯	航空公司
是什麼從匹茲堡到亞特蘭大最便宜的單程航班	飛行
告訴我從丹佛飛往舊金山的航班	飛行
從舊金山最低票價聖地亞哥	飛行
什麼從聖航班。保羅堪薩斯城上週五晚餐送達	機票
沒關係，我們'重新從華盛頓前往丹佛頭等艙機票I'd想知道一個頭等艙機票的費用	飛行
告訴我從匹茲堡飛往舊金山的航班時刻表	機票
從邁阿密到紐約的所有航班	飛行時間
什麼時間週二上午755航班在離開華盛頓抵達舊金山	飛行
告訴我從亞特蘭大飛往舊金山的所有航班	飛行時間
從堪薩斯城飛往克里夫蘭的航班	飛行
請給我從達拉斯的所有航班奧克蘭中午前	飛行
什麼是一個單程從匹茲堡飛往亞特蘭大成本	飛行
我需要從堪薩斯城密蘇里州的航班到猶他州鹽湖城的列表	機票
現在我需要從拉斯維加斯到洛杉磯的另一架飛機抵達還有在下午晚些時候什麼才是可用於該	飛行
你能告訴我從亞特蘭大到波士頓最廉價的票價	飛行
從紐瓦克到波士頓的航班什麼下午5點以後	機票
告訴我聖何塞的特價機票，往返紐約聖何塞到達下午7點之前	飛行
I'd喜歡從波士頓去亞特蘭大下午5點以後的某個時候，你能告訴我，能做到這一點對我來說航班	飛行
給我從亞特蘭大到巴爾的摩航班	飛行
我需要在星期一下午從洛杉磯到匹茲堡航班	飛行
從蒙特利爾飛往拉斯維加斯的航班和到達鳳凰在同一時間	飛行
我想從費城前往舊金山，在達拉斯停留	飛行
什麼是從波士頓最貴飛往達拉斯的航班	飛行
在達拉斯我想在地面交通信息	飛行
告訴我第一週三亞特蘭大和華盛頓之間的航班	飛行
請告訴我從波士頓到舊金山航班	飛行
汽車租賃在波士頓	飛行
請告訴我從波士頓航班服務的航空公司丹佛從丹佛和費城費城到波士頓	飛行
從休斯敦最新飛往聖何塞	航空公司
列出從亞特蘭大到丹佛最早的航班在星期一	飛行
尋找從DC到科羅拉多州丹佛的航班	飛行
下午5點之前，從堪薩斯城飛往克里夫蘭的航班上週三	飛行
一種飛機是從費城一流的美國航空公司航班飛往舊金山，達拉斯停留用什麼	飛行
請給我達拉斯沃斯堡機場和達拉斯市中心之間的地面交通信息	飛機
告訴我，提供一頓飯從波士頓八月第二丹佛最早的航班	航空公司
沒事做臨時工必須從達拉斯到舊金山的航班	飛行
什麼是對我們空氣中的往返車費節儉從波士頓到舊金山	飛行
什麼是你從華盛頓到波士頓的最後一趟在八月第二十七	機票
告訴我從愛領域的航班	飛行
I'd喜歡納什維爾美國一航班從紐瓦克	飛行
什麼是最便宜的航班從亞特蘭大到波士頓	飛行
在那裡從密爾沃基到塔科馬任何航班上週五六月十一	飛行
什麼才是從波士頓到費城最早的航班	飛行
在美國空氣有多少航班離開奧克蘭在7月24日第七到波士頓直飛	飛行
我怎樣才能從波士頓市中心波士頓機場	飛行
我想從舊金山到匹茲堡10點以後航班上週五上午	飛行
我想預訂從丹佛到匹茲堡航班於七月十五I'd喜歡它是最便宜的航班	飛行
什麼類型的飛機葉子從波士頓到華盛頓的上午9工作日期間	飛行
列出丹佛的聯合航空公司的所有航班下午從舊金山	飛機
在上午9點之前，從亞特蘭大到華盛頓特區的航班上週四出發信息	飛行
什麼是從舊金山到匹茲堡最便宜的航班上週日	飛行
告訴我從丹佛或費城或匹茲堡巴爾的摩的所有航班	飛行
有沒有從芝加哥飛往明尼阿波利斯上週六在大陸的任何航班	飛行
我需要從費城到達拉斯的飛行，在亞特蘭大站	飛行
從安大略飛往奧蘭多的航班	飛行
我想看到從丹佛飛往費城國際	飛行
讓我在波士頓機場地面交通的列表	飛行
有多少航班有大陸進出的亞特蘭大	飛行
列出從多倫多到鹽湖城的航班	數量
列出巴爾的摩抵達丹佛八月第三個航班	飛行
告訴我從巴爾的摩到費城的航班，請	飛行
我需要從波士頓到舊金山起飛的航班在下午和晚上抵達謝謝	飛行
告訴我從華盛頓到波士頓的航班	飛行
從費城到奧克蘭航班	飛行
什麼是從丹佛飛往亞特蘭大的航班票價	飛行
美國聯合航空公司航班在丹佛停	機票
多遠是從舊金山機場	飛行
什麼航班從西雅圖出發前往波士頓通過明尼阿波利斯	距離
請列出從加利福尼亞州安大略省的航班佛羅里達州奧蘭多	飛行
什麼類型的地面運輸在那裡舊金山機場	飛行
列出所有從匹茲堡飛往費城國際	飛行
I'd像從亞特蘭大到丹佛早上的航班飛行信息	飛行
什麼地面運輸夏洛特可用	飛行
有沒有紅眼航班從聖何塞飛往納什維爾週三十九的可能	飛行
我期待從奧克蘭到亞特蘭大1045點前離開航班	飛行
告訴我從亞特蘭大飛往丹佛的特價機票	飛行
從丹佛飛往匹茲堡的航班上週四	飛行
從克里夫蘭到堪薩斯城航班	飛行
告訴我從巴爾的摩到奧克蘭航班，請	飛行
告訴我從波士頓到丹佛週三最早的航班	飛行
從丹佛航班信息舊金山	飛行
給我最昂貴的一種方式頭等艙票價從巴爾的摩到達拉斯	飛行
什麼是最早的早上航班從舊金山到波士頓	機票
什麼航班有從波士頓到丹佛在星期一早上	飛行
出發洛杉磯目的地夏洛特上一個星期一的早晨離開該航班	飛行
我需要從亞特蘭大到巴爾的摩直飛航班晚上7點到達，請	飛行
我需要從丹佛機場到市中心	飛行
我想了票，從科羅拉多州丹佛到離開佐治亞州亞特蘭大，在美國匹茲堡停止	飛行
什麼航空公司馬力	機票
列出從波士頓飛往奧克蘭採用大陸航空公司的每日航班	航空公司
告訴我從杜勒斯國際機場到舊金山的航班下午6時後離開	飛行
現在讓我從匹茲堡飛往丹佛	飛行
今天航空公司有一流的航班	飛行
什麼航班抵達有在芝加哥晚上9點以後大陸	航空公司
什麼航班你在九月二十日上午對從匹茲堡飛往舊金山的美國聯合航空公司和在丹佛停留	飛行
我需要費城和亞特蘭大之間飛行	飛行
從波士頓到舊金山吃飯什麼類型的供應歐陸飛行1765	飛行
I'米在邁阿密和I'd喜歡旅行拉斯維加斯星期天	飛行
讓我知道從波士頓來到丹佛的航班	飛行
什麼是所有的航班進出亞特蘭大的機場	飛行
什麼是下午的航班從達拉斯離開舊金山的美國航空公司	飛行
什麼是美國的“從波士頓到華盛頓最後一次飛行S於七月二十一	飛行
我想從匹茲堡飛往巴爾的摩巴爾的摩港航班信息上午週四10點前	飛行
對不起我想預訂從亞特蘭大到科羅拉多州丹佛航班	飛行
有來自巴爾的摩的往返航班丹佛達拉斯連接	飛行
什麼航班，目前波士頓和達拉斯 - 沃斯堡之間可用	飛行
從孟菲斯到拉斯維加斯的航班是什麼	飛行
上月第六我想預訂從坦帕清晨飛往夏洛特	飛行
列出從波士頓到舊金山的所有航班至少有3站	飛行
什麼航班從鳳凰城到任何地方離開	飛行
什麼航班可用週日下午從奧克蘭飛往達拉斯	飛行
確實美國航空公司提供從波士頓到奧克蘭航班停靠在丹佛	飛行
I'd喜歡從坦帕飛往蒙特利爾	飛行
讓我知道從匹茲堡飛往亞特蘭大週三中午前離開這和提供早餐的所有航班	飛行
告訴我從紐約到洛杉磯的航班與停在密爾沃基	飛行
什麼是從費城飛往達拉斯一流的最早的航班	飛行
告訴我從邁阿密到紐約留在一個星期天的最便宜的票價	飛行
我需要預訂從丹佛到波士頓	機票
告訴我所有的達拉斯 - 沃斯堡，要么舊金山或奧克蘭之間的航班??是出發和下午7點之間5	飛行
亞特蘭大匹茲堡七月十三	飛行
請告訴我從伯班克到塔科馬所有往返航班	飛行
I'd喜歡從波士頓飛往舊金山	飛行
給我所有從紐約飛往邁阿密的航班往返	飛行
我想從印第安納波利斯前往休斯敦	飛行
航班離開芝加哥到納什維爾	飛行
你可以列出從奧蘭多最廉價的往返票價堪薩斯城	飛行
讓我從圣迭戈到華盛頓的航班	機票
多少的費用是從亞特蘭大飛東航波士頓	飛行
什麼是單程票從波士頓到華盛頓最低的成本	機票
我想從舊金山飛往波士頓週三時間表	機票
告訴我在芝加哥的地面交通	飛行時間
什麼樣的地面交通的有達拉斯	飛行
給我最早的航班，明天從日美國西北航空公司。聖彼得堡密爾沃基	航班機票+
有多少人適合在72S飛機	飛行
什麼是從華盛頓到舊金山最便宜的航班上週五	容量
哪些呢限制美聯社80均值	飛行
讓我知道從波士頓到丹佛的美聯航航班	縮寫
什麼是從拉瓜迪亞到紐約市中心的距離	飛行
什麼是最後一個航班從亞特蘭大到波士頓	距離
告訴我從丹佛飛往巴爾的摩抵達五月初五所有航班	飛行
什麼是最便宜的單程機票從亞特蘭大到丹佛留在十月十二	飛行
從列出的所有紐瓦克直飛航班坦帕離開上週五	機票
讓我對美國的航空公司從波士頓到加州奧克蘭其中上午11點離開後所有航班	飛行
找到從波士頓到奧克蘭最早的航班，供應早餐	飛行
告訴我從坦帕到ST航班。路易上午10點前離開	飛行
I'd想知道的從亞特蘭大頭等艙到舊金山的價格	飛行
我想從丹佛飛往匹茲堡的航班	機票
從達拉斯到巴爾的摩頭等艙票價請	飛行
是什麼從納什維爾飛往塔科馬並從納什維爾到聖何塞，未來兩天早晨航班	機票
我有兩個朋友，就是想點擊這裡查看我週三在華盛頓一個他們住在丹佛和邁阿密等生活	飛行
怎麼樣來港定居在美國亞特蘭大	飛行
亞特蘭大和舊金山之間飛行的航空公司是什麼	飛行
告訴我第十五從丹佛或離開達拉斯無論是在六月抵達巴爾的摩的航班	航空公司
我要飛從波士頓到達拉斯	飛行
地面交通費城	飛行
我需要從ST飛行。聖彼得堡邁阿密星期四	飛行
然後列出從亞特蘭大到費城星期三早上直飛航班	飛行
你可以列出丹佛租車的費用	飛行
什麼航空公司舊金山和丹佛之間飛	飛行
你可以列出ST之間的所有直達航班。聖彼得堡和夏洛特是假，下午5點以後很快到達	航空公司
現在我'd喜歡看到從底特律到ST航班。聖彼得堡在下星期二	飛行
從辛辛那提到達拉斯的航班718點以後出發	飛行
怎麼樣航班離開舊金山和波士頓抵達的任何一天	飛行
我想從華盛頓到費城TWA航班信息	飛行
沒關係，你可以告訴我，這讓達拉斯最早的航班從費城	飛行
是什麼限制美聯社55	飛行
什麼地面交通有在奧克蘭	縮寫
什麼才是從丹佛飛往匹茲堡最便宜的航班兩個單程和往返航班	飛行
你能告訴我什麼航班在12月16從奧克蘭前往達拉斯	飛行
如何從明尼阿波利斯去長灘明天晚	飛行
請告訴我早上8點之後，從匹茲堡飛往波士頓在週六上午航班	飛行
告訴我所有經濟價格從巴爾的摩到達拉斯	飛行
什麼航班都可以從達拉斯DL亞特蘭大在星期一早上	機票
我想從波士頓飛往巴爾的摩	飛行
是什麼從亞特蘭大到巴爾的摩晚上航班	飛行
我可以在達拉斯租車	飛行
是什麼從達拉斯到費城的航班	飛行
什麼才是最早的航班從亞特蘭大到波士頓	飛行
什麼是EWR	飛行
相信我'd像，以確定哪些飛機在七月初七從波士頓離開和抵達亞特蘭大上使用七月初七	縮寫
在大陸上週日從丹佛飛往芝加哥的航班	飛機
我需要從納什維爾飛往塔科馬第一件事就是在早上還有什麼	飛行
我需要從費城到丹佛航班	飛行
好吧，我'd喜歡在下午對我們飛行的空氣從印第安納波利斯到圣迭戈什麼才是可用	飛行
什麼是票價從巴爾的摩去波士頓的一種方式上月第七	飛行
是什麼從丹佛飛往舊金山的航班上週二十月十五	機票
什麼地面交通有從市中心亞特蘭大機場	飛行
從巴爾的摩丹佛和匹茲堡到費城，每個往返票價低於1000美元的航班	飛行
有一站與美國波士頓的空氣在705離開亞特蘭大	飛行
我感興趣的航班從丹佛飛往匹茲堡	飛行
什麼是從長灘到孟菲斯最便宜的航班	飛行
什麼地面交通可在巴爾的摩機場	飛行
我想飛行儘早在當天從波士頓和丹佛離開	飛行
告訴我從巴爾的摩飛往西雅圖的航班	飛行
列出起飛和降落在米切爾將軍國際	飛行
在紐約機場	飛行
什麼是從波士頓飛往達拉斯的最低票價	飛機場
，經過2點之前凌晨5時抵達星期二波士頓和費城之間的航班	機票
讓我從ST的航班。聖彼得堡到多倫多，在清晨到達	飛行
請列出從巴爾的摩到舊金山在週五的航班	飛行
從納什維爾回到密爾沃基的航班	飛行
I'd像從丹佛飛機一票亞特蘭大我想教練類或最低票價門票	飛行
請列出上午航班離開舊金山波士頓	機票
波士頓地面交通	飛行
什麼航班從芝加哥到西雅圖上週六美國大陸航空公司	飛行
需要多少費用，從達拉斯飛到三角洲巴爾的摩	飛行
告訴我從巴爾的摩飛往費城國際	機票
I'd喜歡洛杉磯的往返票塔科馬華盛頓	飛行
告訴我從波士頓離開匹茲堡7月24日第二到達航班	機票
我想從費城到達拉斯的航班上美國航空公司	飛行
我想從波士頓飛往美國聯合航空公司丹佛	飛行
在那裡有從波士頓飛往費城是630點以前留下任何航空公司	飛行
告訴我從匹茲堡飛往舊金山週一航班	航空公司
在波士頓機場和市區之間有地面交通	飛行
地面交通華盛頓	飛行
從波士頓到奧克蘭航班從波士頓徑直穿過奧克蘭，而不在其他城市停止美國飛行813	飛行
請列出從芝加哥到堪薩斯城的航班	飛行
確實丹佛和波士頓之間的航班??為DC10服務	飛行
什麼是波音767飛機的座位容量	航空公司
我想從堪薩斯城到ST旅行。保羅和在那裡通過晚餐	容量
列出所有從舊金山匹茲堡週一晚間抵達航班頭等艙	飛行
從休斯敦到密爾沃基的美國航空公司航班什麼上週五	飛行
我想預定一個航班從坦帕去西雅圖可以第二十六個我想停在密爾沃基的道路上	飛行
從拉斯維加斯到紐約請名單直飛航班TWA	飛行
什麼是航空公司FF	飛行
告訴我航班會從匹茲堡飛往舊金山週一	航空公司
告訴我所有從奧克蘭抵達丹佛的航班	飛行
告訴我所有的票價從塔科馬到蒙特利爾的一種方式	飛行
請列出從費城到丹佛機場的所有航班下週日成本	機票
I'd喜歡從波士頓前往巴爾的摩美國航空269請告訴我時間	機票
您好我想往返票達拉斯	飛行
我是計劃前往匹茲堡和我住在丹佛，你可以幫我	機票
該航空公司每天都有從波士頓飛往達拉斯的航班	飛行
讓我從舊金山到紐瓦克晚上11點以後離開航班	航空公司
清單航班上週六離開達拉斯和下午4點前到達舊金山	飛行
什麼是FF	飛行
告訴我，從亞特蘭大到費城的航班	縮寫
告訴我從印第安納波利斯飛往蒙特利爾的航班	飛行
什麼航班有上週日從西雅圖到芝加哥	飛行
顯示從ST的所有航班。聖彼得堡和夏洛特的航班應該離開中午下午5點以後直飛航班抵達後	飛行
什麼西北航班停在丹佛	飛行
請給我從匹茲堡飛往舊金山週一航班	飛行
告訴我從匹茲堡飛往費城國際	飛行
什麼地面交通距離匹茲堡市中心可用	飛行
告訴我航班從舊金山一流預訂匹茲堡星期一	縮寫
什麼早上9點之前型號的飛機葉子從波士頓到華盛頓特區	飛行
Delta飛往達拉斯請	飛機
顯示飛行從匹茲堡飛往舊金山的所有航空公司	飛行
在巴爾的摩有地面交通	航空公司
美國航空公司航班從華盛頓到費城信息	飛行
告訴我所有關於從巴爾的摩到達拉斯的飛行這是上市DL 1055 DL 405的信息	飛行
我需要一張票從丹佛去巴爾的摩頭等艙機票上聯合航空公司的成本	飛行
該直飛航班從亞特蘭大到下午奧克蘭葉和下午5時到達	機票
我需要從費城到波士頓的班機	飛行
什麼是在聖地亞哥的地面交通	飛行
告訴我從巴爾的摩飛往舊金山的所有航班	飛行
我想從費城飛往達拉斯航班	飛行
現在我需要一個單程航班從匹茲堡飛往丹佛	飛行
我想從匹茲堡到洛杉磯的航班下午6點，週四後離開	飛行
讓我從舊金山到波士頓的航班	飛行
多少頭等艙航班由美國航空公司提供	飛行
讓我知道從匹茲堡飛往達拉斯的航班	數量
什麼地面交通可在波士頓	飛行
在匹茲堡機場有豪華轎車服務	飛行
給我返回從費城飛往舊金山的航班十二月第三	飛行
讓我從拉斯維加斯到丹佛的最新航班	飛行
列出從印第安納波利斯到休斯敦的航班	飛行
是什麼，東方波士頓和華盛頓之間的最早的航班	飛行
給我堪薩斯城芝加哥離開下週三到達芝加哥的航班於晚上七時	飛行
沒事我'd喜歡做的就是找到從波士頓到丹佛最便宜的單程票價	飛行
告訴我從匹茲堡飛往巴爾的摩的航班在8月第三列表	機票
什麼航空公司的交流和	飛行
I'd喜歡看到從巴爾的摩到費城的航班	航空公司
多少從克里夫蘭到邁阿密一流的往返票對我們的空運費用是多少	飛行
什麼是所有的航班到亞特蘭大的機場	機票
告訴我從匹茲堡飛往費城週三早上航班	飛行
什麼才是最早的航班離開丹佛匹茲堡	飛行
告訴我，從亞特蘭大到北卡羅萊納州夏洛特留在週一和夏洛特到達航班	飛行
我想從邁阿密飛往芝加哥的美國航空公司，並在約下午5點抵達顯示我的所有航班	飛行
什麼從聖航班。路易聖。保羅在週四上午10點後離開	飛行
請列出從紐約到洛杉磯的航班	飛行
